nl,fr
heeft,a
abonneren,abonner
huidig,actuel
momenteel,actuellement
helpen,aider
geholpen,aidé
uitlijnen,aligner
ga,allez
dus,alors
verliefd,amoureux
engels,anglais
leren,apprendre
leer,apprends
geleerd,appris
na,après
aankomen,arriver
aangekomen,arrivé
hebt,as
genoeg,assez
wachten,attendre
aan de,au
geen,aucun
vandaag,aujourd'hui
zou hebben,aurait
ook,aussi
evenveel,autant
ander,autre
aan de,aux
had,avais
had,avait
voor,avant
hebt,avez
hebben,avoir
nou,bah
veel,beaucoup
nodig,besoin
goed,bien
welkom,bienvenue
blokkeert,bloque
goede,bonnes
kortom,bref
baby,bébé
het is,c'est
dat wil zeggen,c'est-à-dire
het was,c'était
aankunnen,cap
capabel,capable
dit,ce
degene,celui
bepaalde,certaines
hersenen,cerveau
deze,ces
deze,cette
verandert,change
veranderen,changer
veranderd,changé
elke,chaque
kanaal,chaîne
gezocht,cherché
ding,chose
dingen,choses
doei,ciao
duidelijk,clair
klas,classe
klik,clique
klikken,cliquer
middelbare school,collège
zoals,comme
begint,commence
hoe,comment
commentaar,commentaire
complex,complexe
volledig,complètement
begrijpelijk,comprehensible
begrijpen,comprendre
begrijp,comprends
begrijpt,comprennes
begrepen,compris
begrip,compréhension
vaardigheid,compétence
kent,connaît
inhoud,contenu
context,contexte
overtuigd,convaincu
klopte,correspondait
slag,coup
geloofde,cru
maken,créer
hart,cœur
trouwens,d'ailleurs
om te leren,d'apprendre
van het leerproces,d'apprentissage
van anderen,d'autres
van het hebben,d'avoir
gewoonlijk,d'habitude
van een,d'une
om te gebruiken,d'utiliser
om te zijn,d'être
in,dans
van,de
vragen,demander
van de,des
beschrijving,description
twee,deux
worden,devenir
geworden,devenu
moeilijk,difficile
anders,différente
zou zeggen,dirais
zeggen,dire
direct,directement
zeg,dis
zeiden,disaient
zei,disais
zegt,dit
vertel me,dites-moi
domein,domaine
dus,donc
van de,du
ontdekt,découvert
ontdekken,découvrir
walging,dégoûté
al,déjà
teleurgesteld,déçu
effectief,efficace
zij,elle
zij,elles
in,en
nog,encore
uiteindelijk,enfin
volledig,entière
zin,envie
bent,es
spaans,espagnol
is,est
en,et
precies,exactement
voorbeeld,exemple
bestonden,existaient
geëxplodeerd,explosé
doen,faire
gedaan,fait
gedaan,faite
familie,famille
moet,faut
manier,façon
focussen,focaliser
keer,fois
noodzakelijkerwijs,forcément
formaat,format
frans,français
moeite hebben,galérer
