nl,fr
heeft,a
bij,abeille
drinkbak,abreuvoir
schuilplaats,abri
momenteel,actuellement
gaat (conjunctief),aille
hou van,aime
hou van (verleden),aimé
gaan,aller
gaan jullie,allez
dus,alors
vriend,ami
dieren,animaux
verschijnen,apparaître
bellen,appeler
heet,appelle
leert,apprend
leren,apprendre
gewaardeerd,apprécié
aquaplaning,aquaplaning
boom,arbre
bomen,arbres
hebt,as
gewacht,attendu
naar de,au
vandaag,aujourd'hui
zal hebben,aura
ook,aussi
andere,autre
had,avait
met,avec
hebben,avoir
hebbend,ayant
wandeling,balade
prikkeldraad,barbelés
kloppen,battent
batterij,batterie
veel,beaucoup
goed,bien
bier,bière
bos,bois
drinken,boivent
goed,bon
rand,bord
randen,bords
hommel,bourdon
knop,bourgeon
knoppen,bourgeons
uiteinde,bout
fles,bouteille
uiteinden,bouts
takken,branches
struik,buisson
struiken,buissons
heuvel,butte
het is,c'est
het was,c'était
verstopt,caché
verstopte (mv.),cachées
kiezelsteen,caillou
kiezelstenen,cailloux
camera,caméra
geval,cas
oorzaak,cause
dit,ce
die hier,celui-ci
deze,ces
dit,cet
deze,cette
veld,champ
weg,chemin
wegen,chemins
bij,chez
hond,chien
ding,chose
doei,ciao
vijf,cinq
klikken,cliquer
omheining,clôture
omheiningen,clôtures
zoals,comme
hoe,comment
opmerkingen,commentaires
concreet,concret
kennen,connaître
raad aan,conseille
liggend (mv.),couchées
hallo,coucou
kleur,couleur
gemaaid,coupé
gegraven (mv.),creusés
heuvel,côte
trouwens,d'ailleurs
om te gaan,d'aller
van bomen,d'arbres
van water,d'eau
gewoonlijk,d'habitude
van ongelooflijks,d'incroyable
er naartoe,d'y
in,dans
van,de
vragen,demander
achter,derrière
van de,des
stap af,descends
beschrijving,description
twee,deux
richting,direction
zei,disais
verspreid,dispersée
afstand,distance
zegt,dit
dus,donc
zacht,doux
recht,droit
van de,du
afval,déchets
al,déjà
haat,déteste
zij,elle
zij (mv.),elles
in,en
nog,encore
daarna,ensuite
hoort,entend
tussen,entre
ongeveer,environ
ben jij,es
ruimte,espace
is,est
is het,est-ce
en,et
voorbeeld,exemple
doen,faire
gedaan,fait
doe,faites
gaan (conjunctief mv.),fassent
moe,fatigué
moet,faut
blad,feuille
bladeren,feuilles
draden,fils
klaar,fini
die bloem,fleur-là
bloemen,fleurs
hooi,foin
keer,fois
gaan,font
kracht,force
bos,forêt
greppel,fossé
greppels,fossés
frankrijk,france
Frans,français
vluchten,fuir
gaspard,gaspard
soort,genre
mensen,gens
eikel,gland
eikels,glands
glijdt,glisse
gaas,grillage
klimt,grimpe
groot,gros
wesp,guêpe
storen,gêner
bebouwing,habitations
grassen,herbes
mensen,humains
hyper,hyper
hier,ici
hij,il
zij (mv.),ils
belangrijk,important
aanwijzen,indiquer
verboden,interdit
interessant,intéressant
geïnteresseerd,intéressé
ik heb,j'ai
ik hoop,j'espère
ik,je
gooien,jettent
dag,jour
gewoon,juste
de drinkbak,l'abreuvoir
de toegang,l'accès
