nl,fr
14 uur,14h
heeft,a
buikspieren,abdos
lid,adhérent
gaan (conjunctief mv.),aillent
heeft (conjunctief),ait
gaan,aller
gaan jullie,allez
lanen,allées
dus,alors
Engels,anglais
bellen,appeler
heet,appelle
leert,apprend
leren,apprendre
leer jij,apprennes
geleerd,appris
na,après
aankomend,arrivant
hebt,as
landt (conjunctief),atterrisse
naar de,au
vergroten,augmenter
vandaag,aujourd'hui
ook,aussi
rondom,autour
andere,autre
naar de,aux
met,avec
mening,avis
bank,banc
stangen,barres
laag,bas
sportschoenen,baskets
veel,beaucoup
drinken,boire
goede,bonne
mond,bouche
bol,boule
bollen,boules
kortom,bref
zonnen,bronzer
gebouw,bâtiment
het is,c'est
het was,c'était
kooi,cage
kooien,cages
kassa's,caisses
die kassa's,caisses-là
calisthenics,calisthénie
vrachtwagen,camion
hart-,cardiaque
cardio,cardio
dit,ce
deze hier,celle-ci
die,celui
cirkels,cercles
deze,ces
deze,cette
wisselen,changer
weg,chemin
keuze,choix
ding,chose
doei,ciao
club,club
hoek,coin
zoals,comme
begint,commence
opmerkingen,commentaires
complex,complexe
begrijpelijk,comprehensible
begrijpt,comprend
concept,concept
ken,connais
bekend,connu
laten we doorgaan,continuons
cool,cool
rennen,courent
hardlopers,coureurs
hardlopen,courir
wedstrijd,course
loopt,court
crossfit,crossfit
kegels,cônes
abonneren,d'abonner
trouwens,d'ailleurs
van lanen,d'allées
van atletiek,d'athlétisme
andere,d'autres
van water,d'eau
van riool,d'égout
dame,dame
gevaarlijk,dangereux
in,dans
van,de
gevraagd,demandé
achter,derrière
van de,des
daalt,descend
afdalen,descendre
twee,deux
tweede,deuxième
dips,dips
zeggen,dire
richting,direction
disciplines,disciplines
zeggen,disent
oplossen,dissoudre
zegt,dit
moet,dois
dus,donc
douchen,doucher
van de,du
overstromingen,débordements
ontspanning,détente
water,eau
zij,elle
in,en
nog,encore
ten slotte,enfin
gehoord,entendu
tussen,entre
ingang,entrée
ben jij,es
probeert,essaye
is,est
en,et
enzovoort,etc
voorbeeld,exemple
doen,faire
gedaan,fait
familie,famille
families,familles
gaan (conjunctief mv.),fassent
nep,fausse
gesloten,fermé
gesloten,fermée
netten,filets
filmen,filmer
einde,fin
gloednieuw,flambant
keer,fois
gaan,font
fontein,fontaine
voetbal,foot
Frans,français
vrouwelijke,féminines
parkeren,garer
geparkeerd,garé
gras,gazon
mensen,gens
groot,grand
dikke,grosse
dikke,grosses
groep,groupe
gym,gym
gymnasters,gymnastes
horden,haies
hoog,haut
hoge,hautes
hoogte,hauteur
gras,herbe
hier,ici
hij,il
zij,ils
immens,immense
begrijpelijk,input
ik heb,j'ai
ik leer,j'apprends
ik kom aan,j'arrive
ik woon,j'habite
ik was,j'étais
nooit,jamais
ik,je
spelen,jouent
spelen,jouer
spelers,joueurs
tot,jusqu'à
gewoon,juste
heeft het,l'a
de toegang,l'accès
de namiddag,l'après-midi
hebt het,l'as
de kont,l'ass
de atletiek,l'athlétisme
de andere,l'autre
het water,l'eau
de plek,l'endroit
de ingang,l'entrée
het gras,l'herbe
het uur,l'heure
de,la
gooien,lancer
zijwaarts,latérale
de,le
welke,lequel
de,les
hun,leur
liken,liker
lijst,liste
hem,lui
daar,là
daar beneden,là-bas
hebben mij,m'ont
machine,machine
nu,maintenant
maar,mais
make,make
pijn,mal
helaas,malheureusement
manier,manière
mantel,manteau
loopt,marche
treden,marches
matras,matelas
ochtend,matin
materiaal,matériel
mij,me
leden,membres
doe,mets
doen,mettent
zetten,mettre
mini,mini
modules,modules
die modules,modules-là
mij,moi
momenten,moments
mijn,mon
wereld,monde
klimt,monte
klimmen,monter
laten zien,montrer
woorden,mots
krachttraining,muscu
krachttraining,musculation
meter,mètres
methode,méthode
zelfs,même
ben jij niet,n'es
wat dan ook,n'importe
vergeet niet,n'oublie
er niet,n'y
niet,ne
nieuw,neuve
naam,nom
normaal gesproken,normalement
men,on
hebben,ont
of,ou
waar,où
mand,panier
manden,paniers
door,par
park,parc
omdat,parce
parkeerplaats,parking
gaat,part
delen,partager
vertrokken,parti
deelnemen,participer
deel,partie
