nl,fr
abonneren,abonner
geabonneerden,abonnées
ga,allez
dus,alors
leren,apprendre
associëren,associer
aan de,au
vandaag,aujourd'hui
voor,avant
met,avec
hebt,avez
nou,bah
babyfles,biberon
goed,bien
drink,bois
kortom,bref
baby,bébé
baby's,bébés
het is,c'est
dat wil zeggen,c'est-à-dire
het was,c'était
dit,ce
hersenen,cerveau
deze,ces
deze,cette
elke,chaque
kanaal,chaîne
vervelend,chiant
ding,chose
doei,ciao
klikken,cliquer
sleutel,clé
zoals,comme
commentaar,commentaire
commentaren,commentaires
ingewikkeld,compliqué
begrijpelijk,comprehensible
begrijpen,comprendre
kent,connaît
cursus,cours
hart,cœur
absoluut niet,d'absolument
trouwens,d'ailleurs
om te leren,d'apprendre
van de,d'au
gewoonlijk,d'habitude
in,dans
van,de
vraag,demande
van de,des
moest,devais
worden,devenir
zeg,dis
discord,discord
zeggen,disent
vertel me,dites-moi
moet,dois
dus,donc
van de,du
moeilijk,dur
in,en
uiteindelijk,enfin
bent,es
proberen,essayer
is,est
en,et
gehad,eu
voorbeeld,exemple
voorbeelden,exemples
blootgesteld,exposé
doen,faire
doe,fasse
moet,faut
fouten,fautes
uiteindelijk,finalement
keer,fois
achtergrond,fond
formaat,format
frans,français
moeite,galère
gaspard,gaspard
aardig,gentils
grammatica,grammaire
dankzij,grâce
uur,heure
uren,heures
hey,hey
super,hyper
hij,il
belangrijk,important
onmogelijk,impossible
onbewust,inconsciente
ongelooflijk,incroyable
input,input
interessant,intéressant
ik heb,j'ai
ik,je
dag,jour
het leerproces,l'apprentissage
het idee,l'idée
het voorwerp,l'objet
de spelling,l'orthographe
de,la
laat,laisse
taal,langue
talen,langues
de,le
de,les
link,lien
ver,loin
me uitdrukken,m'exprimer
me schrijven,m'écrire
nu,maintenant
maar,mais
manier,manière
beste,meilleur
beste,meilleure
beter,mieux
duizend,mille
minimum,minimum
minuten,minutes
modus,mode
ik,moi
minder,moins
montage,montage
woord,mot
methode,méthode
zelfs,même
woont niet,n'habite
natuurlijk,naturelle
niet,ne
nul,nul
nummer,numéro
men,on
of,ou
waar,où
bord,panneau
per,par
omdat,parce
ouders,parents
spreekt,parle
spreken,parler
bijzonder,particulière
niet,pas
gaat,passe
doorbrengen,passer
land,pays
tijdens,pendant
persoon,personne
personen,personnes
klein,petit
beetje,peu
kan,peut
zin,phrase
pijler,pilier
pijlers,piliers
alsjeblieft,plaît
meeste,plupart
meer,plus
liever,plutôt
podcast,podcast
mogelijk,possible
paal,poteau
voor,pour
waarom,pourquoi
praktijk,pratique
oefenen,pratiquer
probleem,problème
leraar,prof
geef de voorkeur aan,préférez
kunt,puisses
dan een,qu'une
wanneer,quand
dat,que
iets,quelque
wie,qui
wat,quoi
snel,rapidement
kijkend,regardant
kijk,regarde
bekijken,regarder
bekijk,regardez
bedankt,remercie
regelmaat,régularité
samenvatten,résumer
weet,sais
weten,savoir
zich,se
volgens,selon
week,semaine
zal zijn,sera
zou zijn,serait
server,serveur
alleen,seulement
als,si
bebording,signalisation
zij,soit
zijn,sont
vaak,souvent
super,super
leert jou,t'apprend
je,te
tijd,temps
jouw,tes
hier,tiens
jouw,ton
alles,tout
alle,toutes
drie,trois
derde,troisième
jij,tu
een,un
een,une
gebruiken,utilisent
gaat,va
ik ga,vais
gaat,vas
wil,veux
video,vidéo
video's,vidéos
volume,volume
jouw,votre
jullie,vous
echt,vraiment
naar,à
dat,ça
enorm,énormément
equivalent,équivalent
was,était
geweest,été
zijn,être
