nl,fr
zes uur veertig,6h40
heeft,a
heb,ai
oksels,aisselles
toevoegen,ajouter
gaan,aller
gaan (jullie),allez
aanzetten,allumer
meenemen,amener
vriend,ami
appartement,appartement
bellen,appeler
leert,apprend
aankomen,arriver
kruiden,assaisonner
genoeg,assez
bord,assiette
naar de,au
vandaag,aujourd'hui
zal hebben,aura
ook,aussi
rondom,autour
andere,autre
aan de,aux
voor,avant
met,avec
hebben (jullie),avez
avocado,avocat
hebben,avoir
bad,bain
banaan,banane
mooi,beau
goed,bien
drink,bois
goed,bon
rommel,bordel
hap,bouchée
einde,bout
flessen,bouteilles
knop,bouton
stukjes,bouts
doos,boîte
gulp,braguette
tak,branche
aansluiten,brancher
arm,bras
borstel,brosse
borstelen,brosser
het is,c'est
koffie,café
onderbroek,caleçon
calorierijk,calorique
want,car
geval,cas
breekt,casse
breken,casser
steelpan,casserole
dit,ce
riem,ceinture
deze,cette
stoel,chaise
geluk,chance
trekt door,chasse
verwarmen,chauffer
sok,chaussette
sokken,chaussettes
schoenen,chaussures
zoeken,chercher
haar,cheveux
chocolade,chocolat
ding,chose
doei,ciao
sleutel,clé
haar doen,coiffer
zoals,comme
begint,commence
beginnen,commencer
commentaar,commentaire
volledig,complet
comfortabel,confortable
vriezer,congélateur
lichaam,corps
lopen,couler
kopje,coupe
kussen,coussin
mes,couteau
bestek,couverts
crème,crème
lepel,cuillère
koken,cuire
kooktijd,cuisson
kabel,câble
kabels,câbles
kant,côté
knoflook,d'ail
overigens,d'ailleurs
andere,d'autres
water,d'eau
gewoonlijk,d'habitude
olijfolie,d'olive
oregano,d'origan
uitsmeren,d'étaler
eieren,d'œufs
in,dans
van,de
buiten,dehors
halve avocado,demi-avocat
tandpasta,dentifrice
tanden,dents
laatste,dernière
de (meervoud),des
twee,deux
tweede,deuxième
zeggen,dire
direct,directement
zeg,dis
zegt,dit
moet,dois
dus,donc
geven,donner
zou geven,donnerait
gewatteerde jas,doudoune
zacht,doux
rechts,droit
van de,du
ontdekken,découvrir
lunch,déjeuner
al,déjà
deodorant,déodorant
in,en
zwanger,enceinte
nog,encore
aantrekken,enfiler
aangetrokken,enfilé
eindelijk,enfin
verkouden,enrhumé
daarna,ensuite
gehoord,entendu
is,est
en,et
voorbeeld,exemple
uiteinden,extrémités
doen,faire
doe,fais
gedaan,fait
moet,faut
sluit,ferme
blad,feuille
bladeren,feuilles
klaar,fini
afmaken,finir
doen (zij),font
vork,fourchette
Frans,français
koelkast,frigo
wrijft,frotte
links,gauche
veldfles,gourde
smaak,goût
vet,grasse
gratis,gratuit
rooster,grille
broodrooster,grille-pain
roosteren,griller
geroosterd,grillé
kleren,habits
kruiden,herbes
hop,hop
afzuigkap,hotte
hydraterende,hydratante
super,hyper
hier,ici
ideeën,idées
hij,il
zij (meervoud),ils
belangrijk,important
interesseren,intéresser
ik hou van,j'adore
ik heb,j'ai
ik hou van,j'aime
ik zet aan,j'allume
ik druk,j'appuie
ik had,j'avais
ik er,j'en
ik haal weg,j'enlève
ik hoop,j'espère
ik probeer,j'essaye
ik woon,j'habite
ik open,j'ouvre
ik smeer,j'étale
ik zet uit,j'éteins
geel,jaune
ik,je
spijkerbroek,jean
gooien,jeter
gooit,jette
dag,jour
je houdt van,kiffes
de knoflook,l'ail
het (jij hebt),l'as
het bord,l'assiette
de avocado,l'avocat
het water,l'eau
de plek,l'endroit
de olie,l'huile
de hogeschool,l'iut
het geval,l'occurrence
het ei,l'œuf
de oregano,l'origan
het elastiekje,l'élastique
de energie,l'énergie
de spons,l'éponge
de,la
gooien,lancer
wastafel,lavabo
wast,lave
wassen,laver
de,le
welke,lequel
de (meervoud),les
bed,lit
verbonden,liés
lang,long
hem,lui
licht,lumière
lichten,lumières
daar,là
sta op,lève
mij aankleden,m'habiller
mijn,ma
nu,maintenant
maar,mais
mouwen,manches
eten,manger
werkt,marche
lopen,marcher
ochtend,matin
ochtendstond,matinée
stof,matière
mij,me
mijn,mes
zet,mets
zetten,mettre
honing,miel
gedaan,mis
mij,moi
helft,moitié
moment,moment
mijn,mon
ochtend,morning
motivatie,motivatie
woorden,mots
snuiten,moucher
zakdoek,mouchoir
gemalen,moulu
zelfs,même
is niet,n'est
aarzel niet,n'hésite
aarzel niet (jullie),n'hésitez
er niet,n'y
niet,ne
zwart,noir
pit,noyau
nacht,nuit
men,on
hebben (zij),ont
vergeten,oublié
openen,ouvrir
waar,où
brood,pain
broek,pantalon
door,par
omdat,parce
hetzelfde,pareil
ga weg,pars
delen,partager
vertrokken,parti
overal,partout
niet,pas
pc,pc
huid,peau
tijdens,pendant
klein,petit
klein,petite
kleine,petites
kleine,petits
beetje,peu
kan,peut
voet,pied
peper,piment
kamer,pièce
kast,placard
plant,plante
plaat,plaque
vol,plein
bevallen,plu
meer,plus
zakje,pochette
punt,point
puntig,pointu
legt,pose
leggen,poser
neergelegd,posés
pot,pot
drinkbaar,potable
prullenbak,poubelle
voor,pour
zouden kunnen,pourraient
eerste,première
nemen,prendre
neem,prends
bijna,presque
stopcontact,prise
Provençaals,provençal
bereiden,préparer
klaar,prêts
stinken,puer
trui,pull
wat ervan,qu'en
dat hij,qu'il
dat zij,qu'ils
dat men,qu'on
dat een,qu'une
wanneer,quand
vierde,quatrième
dat,que
wie,qui
meegebracht,ramené
ruimt op,range
snel,rapidement
terugzetten,remettre
gevuld,remplie
maaltijd,repas
rest,reste
vertraging,retard
afspoelen,rincer
routine,routine
pakt,récupère
verdeeld,répartie
wordt wakker,réveille
wakker worden,réveiller
tas,sac
kamer,salle
zout,sel
ruiken,sentir
handdoek,serviette
zijn (bezittelijk),ses
alleen,seule
als,si
slip,slip
dorst,soif
hetzij,soit
zijn,sont
uitgaan,sortir
onder,sous
zou ondersteunen,soutiendrait
ondersteunt,soutient
speciaal,spécial
ben,suis
volgen,suivre
extra,supplémentaire
op,sur
droge,sèches
drogen,sécher
gedroogd,séché
heeft je,t'a
abonneren,t'abonner
t-shirt,t-shirt
je,te
tijd,temps
grond,terre
trekt,tire
trekken,tirer
toast maken,toaste
toasteren,toaster
toilet,toilettes
alle,tous
alles,tout
alle,toutes
bezig,train
snee,tranche
sneetjes,tranches
slingert,traîne
slingeren,traînent
derde,troisième
etui,trousse
dingen,trucs
heel,très
jij,tu
een,un
een,une
gaat,va
ga,vais
gaat (jij),vas
glas,verre
vlees,viande
video,vidéo
video's,vidéos
kom,viens
snel,vite
hier is,voilà
ziet,voit
luiken,volets
jullie,vous
er,y
ogen,yeux
ritssluiting,zip
zones,zones
naar,à
dat,ça
enorm,énormément
uitsmeren,étaler
studie,études
gootsteen,évier
ei,œuf
eieren,œufs
