nl,fr
95%,95%
heeft,a
abonneer je,abonne-toi
absorbeert,absorbe
accent,accent
acties,actions
gaan,aller
ga,allez
dus,alors
verbeteren,améliorer
leert,apprend
leren,apprendre
leert,apprennes
geleerd,appris
boom,arbre
hebt,as
aan de,au
vandaag,aujourd'hui
ook,aussi
automatisch,automatiquement
automatisch,automatiques
ander,autre
voor,avant
met,avec
hebben,avoir
nou,bah
daalt,baisse
laag,bas
basis,base
laag,basse
veel,beaucoup
nodig,besoin
goed,bien
tweetalig,bilingue
blokkeert,bloque
doel,but
het is,c'est
dat wil zeggen,c'est-à-dire
het was,c'était
dit,ce
bepaalde,certaines
hersenen,cerveau
deze,ces
deze,cette
kamer,chambre
elke,chaque
pantoffels,chaussons
schoenen,chaussures
vervelend,chiant
teef,chienne
doei,ciao
klik,clique
zoals,comme
hoe,comment
begrijpelijk,comprehensible
begrijpen,comprendre
begrijp,comprends
begrepen,compris
begrijpelijk,compréhensible
begrip,compréhension
rijden,conduire
rijlessen,conduite
kennen,connaître
verbonden,connectés
raad aan,conseille
context,contexte
cool,cool
afgesneden,coupée
cursus,cours
kort,court
gemaakt,créé
trouwens,d'ailleurs
om te leren,d'apprendre
om te associëren,d'associer
van idee,d'idée
van een,d'une
om te studeren,d'étudier
om te zijn,d'être
in,dans
van,de
buiten,dehors
van de,des
beschrijving,description
zul worden,deviendras
worden,deviennent
geraden,deviné
verschil,différence
zegt,dit
moet,dois
dus,donc
geven,donner
van de,du
besloten,décidé
al,déjà
teleurgesteld,déçu
effectief,efficaces
zij,elle
in,en
nog,encore
saai,ennuyant
ongeveer,environ
trappen,escaliers
probeert,essaye
proberen,essayent
is,est
en,et
precies,exactement
voorbeeld,exemple
uitleg,explications
uitdrukkingen,expressions
ervaringen,expériences
extreem,extrêmement
doen,faire
doe,fais
manier,façon
blad,feuille
vloeiendheid,fluidité
formaat,format
frankrijk,france
frans,français
franse,françaises
toekomst,futur
mannen,gars
gaspard,gaspard
mensen,gens
globaal,global
gpt,gpt
grammatica,grammaire
dankzij,grâce
hoog,haute
gras,herbe
uur,heure
verhalen,histoires
eerlijk gezegd,honnêtement
hij,il
zij,ils
stel je voor,imagine
belangrijk,important
onmogelijk,impossible
onbekend,inconnu
input,input
inputs,inputs
eindeloos,interminables
ik heb,j'ai
ik open,j'ouvre
ik,je
dag,jour
tot aan,jusqu'au
gewoon,juste
het verwerven,l'acquisition
het leerproces,l'apprentissage
de indruk,l'impression
het doel,l'objectif
het voorwerp,l'objet
de gesproken taal,l'oral
het gebruiken,l'utiliser
de stap,l'étape
de,la
laat,laisse
taal,langue
de,le
de,les
link,lien
lezend,lisant
lijsten,listes
daar,là
ik installeer me,m'installe
mijn,ma
nu,maintenant
maar,mais
handmatig,manuel
moedertaal,maternelle
maximum,maximum
beste,meilleure
mentaal,mentalement
mijn,mes
bericht,message
zet,mets
minuten,minutes
geplaatst,mis
ik,moi
minder,moins
moment,moment
tonen,montrer
woord,mot
woorden,mots
muur,mur
muurtje,muret
methode,méthode
methoden,méthodes
zelfs,même
heeft niet,n'a
hebt niet,n'as
moedertaalsprekers,natifs
natuurlijk,naturellement
niet,ne
aantal,nombre
nummer,numéro
men,on
volgorde,ordre
of,ou
vergeet,oublie
waar,où
per,par
omdat,parce
hetzelfde,pareil
perfect,parfait
sprak,parlais
spreken,parler
gesproken,parlé
niet,pas
verleden tijd,passé
tijdens,pendant
personaliseren,personnaliser
volhouden,persévérer
klein,petit
beetje,peu
kan,peut
kan,peux
zin,phrase
zinnen,phrases
afspeellijst,playlist
meeste,plupart
meer,plus
liever,plutôt
handjevol,poignée
deur,porte
voor,pour
kunnen,pouvoir
neem,prends
waarschijnlijk,probablement
probleem,problème
zul vooruitgaan,progresseras
gaat vooruit,progresses
geleidelijk,progressivement
wandelen,promener
prompt,prompt
uitspraak,prononciation
tegenwoordige tijd,présent
om te leren,qu'apprendre
dan met,qu'avec
wanneer,quand
dat,que
welke,quelle
iemand,quelqu'un
wie,qui
quiz,quiz
wat,quoi
snel,rapidement
onthoud,rappelle-toi
raad aan,recommande
kijk,regarde
kijkt,regardes
maken,rendre
versterkt,renforce
versterken,renforcer
niets,rien
regels,règles
echt,réelle
echte,réelles
antwoord,réponse
herhalen,répéter
herhaling,répétition
went,s'habitue
zijn,sa
weet,sais
hoi,salut
zonder,sans
dient,sert
shadowing,shadowing
als,si
eenvoudig,simple
situatie,situation
situaties,situations
oplossing,solution
zijn,sont
buiten gaan,sortir
ondertitels,sous-titres
structuur,structure
op,sur
vooral,surtout
zeker,sûr
je helpen,t'aider
je leren,t'apprendre
je meenemen,t'emmène
jouw,ta
chat,tchat
je,te
zo,tellement
tijd,temps
testen,tester
trekt,tire
jouw,ton
slippers,tongs
alle,tous
traditionele,traditionnelles
vertalen,traduire
trein,train
via,travers
zeer,très
jij,tu
hoofd,tête
een,un
een,une
alleen,uniquement
gebruiken,utiliser
gebruikt,utilisées
gaat,va
ik ga,vais
gaat,vas
naar,vers
wil,veux
video,vidéo
video's,vidéos
leven,vie
komt,viens
visueel,visuel
snel,vite
vlogs,vlogs
woordenschat,vocabulaire
hier is,voici
zien,voir
ziet,voit
auto,voiture
reizen,voyager
reizen,voyages
echte,vraie
er,y
naar,à
dat,ça
luisteren,écouter
luistert,écoutes
enorm,énormément
equivalent,équivalent
stap,étape
geweest,été
zijn,être
