nl,fr
heeft,a
omgeving,alentours
gaan,aller
gaan jullie,allez
laan,allée
dus,alors
vriend,ami
ziet,aperçoit
heet,appelle
leert,apprend
leren,apprendre
geleerd,appris
na,après
boom,arbre
bomen,arbres
architectuur,architecture
komt aan,arrive
aangekomen,arrivé
halte,arrêt
haltes,arrêts
hebt,as
gezeten,assis
gezeten (mv.),assises
wacht,attend
wachtend,attendant
wachten,attendre
gewacht,attendu
naar de,au
vandaag,aujourd'hui
ook,aussi
anderen,autres
loopt voor,avance
met,avec
bank,banc
banken,bancs
stang,barre
hek,barrière
hekken,barrières
goed,bien
geblokkeerd,bloqué
goedendag,bonjour
bus,bus
gebouw,bâtiment
gebouwen,bâtiments
het is,c'est
dat wil zeggen,c'est-à-dire
praktijk,cabinet
kiezelsteen,caillou
kiezelstenen,cailloux
geval,cas
dit,ce
dit,ceci
deze hier,celle-ci
deze,ces
deze,cette
stoelen,chaises
bouwplaats,chantier
weg,chemin
bij,chez
doei,ciao
wijk,cité
klanten,clients
zoals,comme
hoe,comment
opmerkingen,commentaires
gemeenschappelijk,commun
lichaam,corps
kraken,craquer
trouwens,d'ailleurs
om te gaan,d'aller
van wachten,d'attente
van osteopaat,d'ostéopathe
van een,d'un
er naartoe,d'y
in,dans
van,de
staand,debout
achter,derrière
van de,des
stap af,descends
afgestapt,descendu
design,design
erop,dessus
anders,différente
zeggen,dire
richting,direction
zei,disais
zegt,dit
moet,doit
dus,donc
rug,dos
recht,droit
van de,du
decoratie,décoration
versieren,décorer
definiëren,définir
verplaatsen,déplacer
ontwerpen,désigner
zij,elle
verhinderen,empêcher
in,en
ongeveer,environ
beklimmen,escalader
trappen,escaliers
is,est
is het,est-ce
en,et
voorbeeld,exemple
oefent,exerce
fragmenten,extraits
enorm,extrêmement
doen,faire
gedaan,fait
doet,fasse
moet,faut
sluit,ferme
billen,fesses
bladeren,feuilles
klaar,finie
pijl,flèche
Frans,français
links,gauche
grote,grandes
dankzij,grâce
algemeen,général
boven,haut
hier,ici
pictogram,icône
hij,il
verboden,interdit
interessant,intéressant
binnenste,intérieur
ik heb,j'ai
ik hoop,j'espère
ik open,j'ouvre
tuin,jardin
ik,je
de toegang,l'accès
de laan,l'allée
de halte,l'arrêt
hebt het,l'as
het water,l'eau
het binnenste,l'intérieur
de osteopaat,l'ostéopathe
de,la
lantaarnpaal,lampadaire
de,le
de,les
plaats,lieu
lees,lis
boek,livre
boeken,livres
logo,logo
ver,loin
hem,lui
lichten,lumières
daar,là
gaan zitten,m'asseoir
mijn,ma
machine,machine
nu,maintenant
maar,mais
eten,manger
loopt,marche
lopen,marcher
massend,massant
masseren,masser
mij,me
zetten,mettre
minuten,minutes
mij,moi
mijn,mon
klimt,monte
klimmen,monter
woorden,mots
nat,mouillée
dokter,médecin
beroep,métier
zelfs,même
heeft niet,n'a
is niet,n'est
aarzel niet,n'hésite
niet,ne
onze,nos
wij,nous
object,objet
men,on
osteopaat,ostéopathe
of,ou
arbeiders,ouvriers
waar,où
bord,panneau
door,par
omdat,parce
deelt,partage
vertrokken,parti
deel,partie
delen,parties
vertrekken,partir
niet,pas
geduld oefenen,patienter
patiënten,patients
betalen,payer
tijdens,pendant
denk,pense
persoon,personne
personen,personnes
klein,petit
kleine,petites
kleine,petits
beetje,peu
kan,peut
kan,peux
zinnen,phrases
plaatsen,places
planten,plantes
plastic,plastique
vol,plein
meeste,plupart
meer,plus
meerdere,plusieurs
legt,pose
paal,poteau
voor,pour
kon,pouvait
kunnen,pouvoir
nemen,prendre
neem,prends
genomen,pris
kan,puisse
wat erboven,qu'au-dessus
dat vandaag,qu'aujourd'hui
dat zij,qu'elle
dat hij,qu'il
dat men,qu'on
wanneer,quand
dat,que
enkele,quelques
die,qui
afspraak,rendez-vous
teruggaan,rentrer
blijft,reste
beperkt,restreint
rots,rocher
rotsen,rochers
rijdt,roule
zijn (mv.),s
heet,s'appelle
gaan zitten,s'asseoir
zorgt voor,s'occupe
zaal,salle
banden,sangles
zich,se
zijn,ses
als,si
verzorgt,soigne
zij,soit
zijn,son
zijn,sont
naar buiten gegaan,sorti
verlichten,soulager
zou ondersteunen,soutiendrait
specifiek,spécifique
ben,suis
onderwerp,sujet
super,super
op,sur
sessie,séance
zeker,sûr
abonneren,t'abonner
tafel,table
terwijl,tandis
jou,te
houden,tenir
term,terme
test,test
kaartje,ticket
kaartjes,tickets
dak,toit
vallen,tomber
gevallen,tombé
jouw,ton
rondleiding,tour
rondleidingen,tours
alle,tous
alles,tout
heel,toute
bezig,train
tram,tram
vervoer,transports
werken,travaillent
werkzaamheden,travaux
vindt,trouve
jij,tu
een,un
een,une
nuttig,utiles
gebruikt,utilise
gaat,va
ga,vais
gaat,vas
wil,veut
wil,veux
leeg,vide
video,vidéo
kom,viens
stad,ville
bezoeken,visiter
sporen,voies
zien,voir
ziet,voit
gaan,vont
jullie,vous
echt,vrai
echte,vraies
gezien,vu
er,y
zone,zone
naar,à
dat,ça
verlichten,éclairer
luister,écoutez
schrijft,écrit
enorm,énormément
zijn,être
