nl,fr
heeft,a
momenteel,actuellement
toont,affiche
zo,ainsi
gaan (jullie),allez
dan,alors
Engels,anglais
appartement,appartement
heet,appelle
leert,apprend
leren,apprendre
hebt,as
borden,assiettes
zit,assis
naar de,au
boven,au-dessus
geen,aucun
ook,aussi
rondom,autour
andere,autre
met,avec
hebben,avoir
hebben (jullie),ayez
bad,baignoire
bad,bain
veel,beaucoup
goed,bien
bureau,bureau
het is,c'est
cactus,cactus
lijst,cadre
dit,ce
deze,ces
deze,cet
deze,cette
warmte,chaleur
kansen,chances
warm,chaud
verwarmen,chauffer
ding,chose
dat ding,chose-là
doei,ciao
zoals,comme
hoe,comment
commentaren,commentaires
begrijpelijk,comprehensible
begrijpen,comprendre
concreet,concret
bevroren,congelé
vriezer,congélateur
ken,connais
kennen,connaître
tegen,contre
loopt,coule
lopen,couler
snijden,couper
gesneden,coupé
koken,cuire
keuken,cuisine
kookwijze,cuisson
om te leren,d'apprendre
om te koppelen,d'associer
in,dans
van,de
achter,derrière
de (meervoud),des
tweede,deuxième
direct,directement
zeg,dis
zegt,dit
tien,dix
moet,dois
dus,donc
geven,donner
slaapt,dort
douche,douche
van de,du
hard,dur
eh,eh
zij,elle
in,en
eindelijk,enfin
verwijderen,enlever
vervelen,ennuyer
hoort,entend
is,est
is het,est-ce
en,et
voorbeeld,exemple
oefening,exercice
doen,faire
gedaan,fait
fauteuil,fauteuil
sluiten,fermer
gesloten,fermé
klaar,fini
keer,fois
fris,frais
Frans,français
koelkast,frigo
koud,froid
links,gauche
grote,grandes
dankzij,grâce
afzuigkap,hotte
hier,ici
hij,il
impact,impact
onder,inférieure
invoer,inputs
ik heb,j'ai
ik,je
gewoon,juste
de hoek,l'angle
het bord,l'assiette
het water,l'eau
de plek,l'endroit
het voorbeeld,l'exemple
de indruk,l'impression
het kussen,l'oreiller
de,la
welke,laquelle
wastafel,lavabo
de,le
welke,lequel
de (meervoud),les
opstaan,lever
opgestaan,levé
bed,lit
hem,lui
daar,là
gaan zitten,m'asseoir
ik ga zitten,m'assieds
ik ga verder weg,m'éloigne
mijn,ma
nu,maintenant
maar,mais
eten,manger
werkt,marche
materiaal,matériel
mij,me
zetten,mettre
meubel,meuble
magnetron,micro-onde
magnetron,micro-ondes
mij,moi
mijn,mon
toont,montre
woord,mot
woorden,mots
nat,mouillé
muur,mur
krachttraining,musculation
methode,méthode
zelfs,même
is niet,n'est
aarzel niet,n'hésite
er niet,n'y
niet,ne
aantal,nombre
ons,notre
voedsel,nourriture
object,objet
men,on
kussen,oreiller
of,ou
open,ouvert
openen,ouvrir
waar,où
brood,pain
per,par
omdat,parce
hetzelfde,pareil
praten,parler
deelt,partage
deel,partie
niet,pas
klein,petit
kleine,petits
beetje,peu
kan,peut
misschien,peut-être
piek,pic
pieken,pics
prikt,pique
plaat,plaque
vol,plein
meeste,plupart
meer,plus
douchekop,pommeau
legt,pose
mogelijk,possible
posters,posters
pot,pot
voor,pour
duwen,pousser
kunnen,pouvoir
eerste,premier
nemen,prendre
neem,prends
laten we nemen,prenons
dichtbij,proche
kunnen (jullie),puissiez
wat is het,qu'est-ce
hier,qu'ici
dat hij,qu'il
dat men,qu'on
dat een,qu'un
dat een,qu'une
wanneer,quand
dat,que
iemand,quelqu'un
wie,qui
radiator,radiateur
snel,rapidement
weer gaan zitten,rasseoir
ik ga weer zitten,rassieds
rust,repose
onthouden,retenu
niets,rien
kraan,robinet
heet,s'appelle
haar,sa
kamer,salle
zonder,sans
zich,se
gevoel,sens
handdoek,serviette
als,si
gewoon,simplement
uitgaan,sortir
straatmode,street
stijl,style
ben,suis
boven,supérieure
op,sur
drogen,sécher
abonneren,t'abonner
schilderij,tableau
tikt,tape
je,te
tijd,temps
grond,terre
trekken,tirer
lade,tiroir
lades,tiroirs
toilet,toilettes
raakt aan,touche
rondgang,tour
draait,tourne
alles,tout
werkt,travaille
ding,truc
jij,tu
hoofd,tête
een,un
een,une
gebruikend,utilisant
gaat,va
ga,vais
video,vidéo
video's,vidéos
komt,vient
bezoek,visite
woordenschat,vocabulaire
zien,voir
ziet,voit
stem,voix
jullie,vous
zien (jullie),voyez
gezien,vu
training,workout
er,y
naar,à
dat,ça
schrijf het op,écris-le
