nl,fr
17 uur,17h
18 uur,18h
8 uur,8h
half negen,8h30
half tien,9h30
half tien tot tien uur,9h30-10h
heeft,a
abonneer je,abonne-toi
kopen,acheter
heb,ai
geliefd,aimée
terrein,aire
omgeving,alentours
gaan,aller
gaan (jullie),allez
analyseren,analyser
heet,appelle
leren,apprendre
leert,apprennes
drukken,appuyer
ingedrukt,appuyé
na,après
bomen,arbres
hebt,as
genoeg,assez
naar de,au
boven,au-dessus
vandaag,aujourd'hui
ook,aussi
rondom,autour
andere,autre
aan de,aux
met,avec
mening,avis
neergelaten,baissés
bankje,banc
hek,barrière
hekken,barrières
beneden,bas
veel,beaucoup
goed,bien
blesseren,blesser
blokkeren,blokkeren
geblokkeerd,bloqué
hout,bois
goed,bon
rand,bord
einde,bout
kort,bref
bus,bus
romp,buste
gebouw,bâtiment
het is,c'est
het was,c'était
vrachtwagens,camions
camera,caméra
want,car
geval,cas
dit,ce
dit,ceci
deze,celle-ci
die,celle-là
deze,cet
deze,cette
die (meervoud),ceux
kapel,chapelle
bij,chez
ding,chose
doei,ciao
klik,clique
omheining,clôture
zoals,comme
beginnen (zij),commencent
hoe,comment
reageer,commente
winkels,commerces
winkeliers,commerçants
ingewikkeld,compliqué
begrijpelijk,comprehensible
verwarren,confondre
kennen (zij),connaissent
slag,coup
snijden,couper
binnenplaats,cour
les,cours
kant,côté
kanten,côtés
overigens,d'ailleurs
om aan te komen,d'arriver
voorbeelden,d'exemples
ongelooflijk,d'incroyable
van een,d'un
van een,d'une
van te zijn,d'être
gevaarlijk,dangereux
in,dans
van,de
achter,derrière
de (meervoud),des
beschrijving,description
tweede,deuxième
voor,devant
zeggen,dire
zei,disait
zegt,dit
moeten (zij),doivent
dus,donc
rechts,droit
rechts,droite
van de,du
ontdekken,découvrir
zij,elle
zij (meervoud),elles
verhinderen,empêcher
in,en
nog,encore
kinderen,enfants
eindelijk,enfin
overstappen,enjamber
daarna,ensuite
tussen,entre
zin,envie
trap,escalier
trappen,escaliers
is,est
is het,est-ce
en,et
precies,exactement
voorbeeld,exemple
uitleggen,expliquer
fragmenten,extraits
doen,faire
doe (jullie),faites
moet,faut
fout,faux
sluit,ferme
gesloten,fermée
gesloten (meervoud),fermés
licht,feu
gefilmd,filmés
einde,fin
rivier,fleuve
keer,fois
noodzakelijk,forcément
formaat,format
Frans,français
geparkeerd,garées
Gaspard,gaspard
